filename,modelname,prompting,LOC,Cyclomatic Complexity,Halstead Volume,Maintainability Index,Levenshtein Distance
s589457088_pass@5.py,wizardcoder,zero,3,0,0,100.0,33
s692452144_pass@1.py,wizardcoder,zero,3,0,0,100.0,18
s734094779_pass@5.py,wizardcoder,zero,10,0,15.51,69.31,80
s006445558_pass@5.py,wizardcoder,zero,11,6.0,4.75,71.73,144
s817795761_pass@3.py,wizardcoder,zero,17,0,25.27,91.7,216
s008878387_pass@5.py,wizardcoder,zero,5,0,58.6,71.84,6
s144613711_pass@5.py,wizardcoder,zero,8,0,94.01,65.95,27
s222554289_pass@3.py,wizardcoder,zero,12,0,110.36,61.48,133
s387961185_pass@3.py,wizardcoder,zero,4,0,58.6,73.95,91
s394618290_pass@5.py,wizardcoder,zero,13,0,79.95,61.7,12
s771974273_pass@3.py,wizardcoder,zero,6,0,58.6,70.11,59
s000834186_pass@3.py,wizardcoder,zero,3,0,0,100.0,92
s277592678_pass@5.py,wizardcoder,zero,3,0,2.0,84.49,20
s484306856_pass@5.py,wizardcoder,zero,3,0,0,100.0,10
s673444911_pass@1.py,wizardcoder,zero,3,0,2.0,84.62,11
s053858745_pass@3.py,wizardcoder,zero,7,0,4.75,76.02,239
s101832115_pass@5.py,wizardcoder,zero,11,0,4.75,71.33,201
s241547485_pass@3.py,wizardcoder,zero,15,0,286.62,56.31,68
s104778345_pass@1.py,wizardcoder,zero,21,0,162.63,54.46,271
s493019358_pass@3.py,wizardcoder,zero,9,0,96.79,68.18,14
s582875838_pass@3.py,wizardcoder,zero,5,0,76.15,70.9,80
s305140466_pass@5.py,wizardcoder,zero,15,4.0,41.51,62.34,173
s011003325_pass@3.py,wizardcoder,zero,2,0,0,100.0,12
s175165176_pass@1.py,wizardcoder,zero,2,0,0,100.0,6
s471959790_pass@1.py,wizardcoder,zero,5,3.0,0,100.0,64
s962118174_pass@3.py,wizardcoder,zero,8,0,0,100.0,3
s219792778_pass@5.py,wizardcoder,zero,9,2.0,4.75,75.02,69
s309823221_pass@1.py,wizardcoder,zero,10,4.0,4.75,75.02,219
s368208835_pass@1.py,wizardcoder,zero,17,1.0,4.75,75.16,51
s999569353_pass@1.py,wizardcoder,zero,7,0,4.75,76.29,62
s040490758_pass@5.py,wizardcoder,zero,8,0,25.27,69.94,13
s531603545_pass@5.py,wizardcoder,zero,15,0,15.51,89.73,210
s002223862_pass@5.py,wizardcoder,zero,5,0,24.0,79.66,46
s051392851_pass@1.py,wizardcoder,zero,5,0,15.51,80.99,18
s310753047_pass@3.py,wizardcoder,zero,5,0,15.51,80.99,2
s961867738_pass@1.py,wizardcoder,zero,16,0,28.53,62.74,184
s021883501_pass@1.py,wizardcoder,zero,19,0,27.0,67.49,63
s570268714_pass@5.py,wizardcoder,zero,9,0,27.0,68.49,21
s739642733_pass@5.py,wizardcoder,zero,15,0,27.0,69.61,27
s797633534_pass@1.py,wizardcoder,zero,8,0,15.51,71.56,18
s116264666_pass@1.py,wizardcoder,zero,12,0,15.51,66.69,5
s308008730_pass@3.py,wizardcoder,zero,23,4.0,15.51,67.58,101
s733095895_pass@3.py,wizardcoder,zero,25,0,57.06,62.86,6
s806369748_pass@5.py,wizardcoder,zero,10,3.0,38.04,67.58,471
s934739140_pass@1.py,wizardcoder,zero,13,0,57.06,62.86,27
s985129517_pass@5.py,wizardcoder,zero,12,0,62.27,79.69,96
